MAC;IMU;TIME;INDEX;QUATERNION_0;QUATERNION_1;QUATERNION_2;QUATERNION_3;ACCEL_ADXL355_0;ACCEL_ADXL355_1;ACCEL_ADXL355_2;ACCEL_BMI160_0;ACCEL_BMI160_1;ACCEL_BMI160_2;GYRO_0;GYRO_1;GYRO_2;GYRO_ECC_0;GYRO_ECC_1;GYRO_ECC_2
18:04:ED:C4:75:1A;imu9;1655928839431836;132;0.000000;0.000000;0.000000;0.000000;-0.063750;10.156250;0.276250;-0.243125;10.275625;0.218125;0.000000;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839439225;133;0.000000;0.000000;0.000000;0.000000;-0.059375;10.152500;0.261875;-0.242500;10.283750;0.205625;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839454242;134;0.000000;0.000000;0.000000;0.000000;-0.025625;10.159375;0.250625;-0.238750;10.279375;0.191875;-0.001065;0.000000;0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839461847;135;0.000000;0.000000;0.000000;0.000000;-0.035000;10.166250;0.266875;-0.242500;10.261250;0.186875;0.002131;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839469355;136;0.000000;0.000000;0.000000;0.000000;-0.057500;10.161875;0.257500;-0.256875;10.270000;0.196875;0.002131;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839484367;137;0.000000;0.000000;0.000000;0.000000;-0.060625;10.158750;0.256250;-0.254375;10.268750;0.195000;0.000000;0.000000;0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839491748;138;0.000000;0.000000;0.000000;0.000000;-0.026875;10.149375;0.256250;-0.238750;10.261250;0.218125;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839499137;139;0.000000;0.000000;0.000000;0.000000;-0.044375;10.157500;0.270625;-0.248750;10.275625;0.196875;0.000000;0.001065;-0.002131;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839514049;140;0.000000;0.000000;0.000000;0.000000;-0.057500;10.159375;0.270625;-0.244375;10.277500;0.190000;0.001065;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839521503;141;0.000000;0.000000;0.000000;0.000000;-0.059375;10.171250;0.266250;-0.234375;10.293750;0.219375;0.001065;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839529022;142;0.000000;0.000000;0.000000;0.000000;-0.037500;10.156875;0.253750;-0.246250;10.276250;0.199375;0.000000;0.002131;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839544005;143;0.000000;0.000000;0.000000;0.000000;-0.043125;10.150625;0.261875;-0.234375;10.290000;0.188125;0.001065;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839551562;144;0.000000;0.000000;0.000000;0.000000;-0.056875;10.155625;0.270000;-0.235000;10.261875;0.213125;0.000000;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839559136;145;0.000000;0.000000;0.000000;0.000000;-0.070000;10.156875;0.258750;-0.260000;10.266875;0.213125;-0.001065;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839574221;146;0.000000;0.000000;0.000000;0.000000;-0.024375;10.170625;0.261875;-0.256875;10.266875;0.210625;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839581543;147;0.000000;0.000000;0.000000;0.000000;-0.053750;10.163125;0.263125;-0.241250;10.273750;0.218750;0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839589224;148;0.000000;0.000000;0.000000;0.000000;-0.050625;10.160000;0.262500;-0.265625;10.262500;0.206875;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839604274;149;0.000000;0.000000;0.000000;0.000000;-0.041250;10.152500;0.276250;-0.252500;10.266875;0.212500;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839612076;150;0.000000;0.000000;0.000000;0.000000;-0.071875;10.154375;0.261250;-0.248125;10.268125;0.200625;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839619324;151;0.000000;0.000000;0.000000;0.000000;-0.033125;10.166875;0.261875;-0.231875;10.275000;0.186875;-0.001065;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839634315;152;0.000000;0.000000;0.000000;0.000000;-0.036250;10.163750;0.269375;-0.256250;10.273125;0.190000;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839641815;153;0.000000;0.000000;0.000000;0.000000;-0.073750;10.148125;0.273750;-0.248125;10.266875;0.203750;0.000000;0.000000;-0.001065;0;0;0
